INST_FORMAT,SHIFT,N_IB,VWR,WORD,CONF,TEST_INSTR,CU,DLB_MOV,DLB_SA,DLB_PM,ID_MOV,ID_SA,ID_PM,IU,ITT_MOV,ITT_SA,ITT_PM,MS,PCU,IB,CSDRF,Internal,Switching,Leakage,Total
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,NOP,2.92e-04,2.81e-07,0.000,2.50e-08,2.84e-05,4.70e-07,1.35e-06,2.52e-06,1.41e-06,2.30e-07,2.65e-07,1.52e-04,3.91e-05,1.53e-04,1.26e-04,2.282e-04,1.998e-05,3.236e-04,5.718e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,RLB,3.03e-04,3.62e-07,0.000,3.64e-07,2.67e-05,4.70e-07,3.02e-06,2.40e-06,4.53e-06,6.00e-07,1.78e-06,1.52e-04,3.57e-05,1.66e-04,1.26e-04,2.254e-04,3.282e-05,3.367e-04,5.949e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,WLB,3.11e-04,6.91e-07,0.000,2.50e-08,3.01e-05,4.70e-07,1.35e-06,2.43e-06,3.49e-06,3.75e-07,3.41e-07,1.52e-04,4.19e-05,1.72e-04,1.26e-04,2.412e-04,3.016e-05,3.369e-04,6.083e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,VMV,3.08e-04,6.57e-07,0.000,2.50e-08,3.06e-05,4.70e-07,1.35e-06,2.57e-06,2.60e-06,3.86e-07,3.16e-07,1.52e-04,3.93e-05,1.69e-04,1.26e-04,2.405e-04,2.804e-05,3.346e-04,6.031e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,SHIFT,3.42e-04,6.26e-07,0.000,8.85e-08,3.61e-05,4.15e-06,1.83e-06,2.65e-06,3.66e-06,1.09e-06,1.08e-06,1.52e-04,4.13e-05,1.98e-04,1.26e-04,2.665e-04,4.479e-05,3.552e-04,6.665e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,ADD,3.46e-04,7.84e-07,0.000,2.50e-08,3.79e-05,4.23e-06,1.35e-06,2.65e-06,4.44e-06,1.65e-06,6.75e-07,1.52e-04,4.21e-05,1.99e-04,1.26e-04,2.691e-04,4.634e-05,3.560e-04,6.714e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,MUL,3.51e-04,1.76e-07,0.000,1.50e-07,2.50e-05,3.90e-06,5.87e-06,2.48e-06,1.76e-06,3.62e-07,1.05e-06,2.28e-04,2.41e-05,1.83e-04,1.33e-04,2.456e-04,5.947e-05,3.616e-04,6.667e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,PACK,3.55e-04,1.20e-06,0.000,3.77e-07,3.75e-05,4.70e-07,2.26e-05,2.63e-06,5.11e-06,5.83e-07,1.82e-06,1.52e-04,4.03e-05,1.97e-04,1.35e-04,2.728e-04,6.003e-05,3.540e-04,6.869e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,EXIT,2.65e-04,7.48e-08,0.000,2.50e-08,1.22e-05,4.70e-07,1.35e-06,2.52e-06,5.24e-07,9.38e-08,1.67e-07,1.51e-04,3.26e-05,1.41e-04,1.26e-04,2.110e-04,4.055e-06,3.174e-04,5.324e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,IDLE,2.22e-04,7.48e-08,0.000,2.49e-08,1.20e-05,4.70e-07,1.43e-06,2.54e-06,5.35e-07,1.25e-07,1.92e-07,1.50e-04,1.70e-05,1.38e-04,1.26e-04,1.723e-04,1.185e-07,3.137e-04,4.861e-04
